ifc_file_id,db_file_name,candidate_file_name,project_code,project_name,ifc_module_code,bim_rows,actual_rows,path_action,module_action,approval_status,approved_project_code,approved_module_code,reviewer,notes
2,농어촌공사 5평 야영장.ifc,농어촌공사 5평 야영장.ifc,N-03-농어촌-공사,농어촌 공사,CAMP-5P,74,22,none,,pending,,,,
3,루떼르 포레_모델하우스_S-18_241229.ifc,루떼르 포레_모델하우스_S-18_241229.ifc,N-10-S-18,청주 루떼르 포레 모델하우스 S-18,S-18-2025,322,72,none,,pending,,,,
4,밀양시 남기동길 43-2 T-15.ifc,밀양시 남기동길 43-2 T-15.ifc,N-13-T-15-3,밀양 남기동길 43-2 T-15-3,T-15-STD,260,68,none,,pending,,,,
5,용인 남곡리 10평 쇼룸_수정_250817(Recovery).ifc,용인 남곡리 10평 쇼룸_2511126_창호수정.ifc,N-02-T-12-1,기흥 쇼룸 (T-12-1),T-10-SHW,149,80,manual_review,insert_project_module_from_ifc_module,pending,,,,
6,용인 수지 에스테라고.ifc,용인 수지 에스테라고.ifc,N-07-U-6-1,용인 수지 에스테라고 카페 1동 (U-6-1),U-6-1-2025,127,68,none,,pending,,,,
7,용인 수지 에스테라고2.ifc,용인 수지 에스테라고2.ifc,N-08-U-6-1,용인 수지 에스테라고 카페 2동 (U-6-1),U-6-1-2025,108,51,none,,pending,,,,
8,청주 상당구 미원면 중리 산 52-13 T-12-3_250319.ifc,청주 상당구 미원면 중리 산 52-13 T-12-3_250319.ifc,N-11-T-12,청주 상당구 미원면 중리 산 52-13 T-12,T-12-2025,260,71,none,,pending,,,,
9,충남 서산시 강수리 277_260212.ifc,충남 서산시 강수리 277_260212.ifc,N-21-서산-부석면-강수리-277,서산 부석면 강수리 277,ST-STD-2025,322,30,none,manual_review_module_conflict,pending,,,,
10,홍천군 잉귀미면 노천리 산315-9 T-15.ifc,홍천군 잉귀미면 노천리 산315-9 T-15.ifc,N-01-T-15,강원 홍천군 영귀미면 노천리 산315-9 T-15,T-15-STD,300,78,none,,pending,,,,
11,Unit Lab Template T Haus_2_240213.ifc,충남 서산시 강수리 277_260212.ifc,N-IFC---------------------,Unit Lab Template T Haus_2_240213.ifc,IFC-UNIT LAB T,233,0,manual_review,manual_review,pending,,,,
12,경기 화성시 비봉면 쌍학리 667-5_주택_S-18_박공_251106.ifc,경기 화성시 비봉면 쌍학리 667-5_주택_S-18_박공_251106.ifc,N-20-경기-화성시-쌍학리-667,경기 화성시 쌍학리 667-5_주택 S-18(박공),IFC-경기 화성시 비봉면,182,44,none,insert_project_module_from_ifc_module,pending,,,,
13,경기도 성남시 수정구 상적동 2-1 근생 12평 _ 260226.ifc,경기도 성남시 수정구 상적동 2-1 근생 12평 _ 260226.ifc,N-19-T-12,경기 성남시 수정구 상적동 2-1 T-12,IFC-경기도 성남시 수정,271,44,none,insert_project_module_from_ifc_module,pending,,,,
14,양평군_원덕리346-34_근생_s-18_260319.ifc,양평군_원덕리346-34_근생_s-18_260325.ifc,N-22-S-18,양평군 원덕리 346-34_근생_s-18,IFC-양평군_원덕리346,197,4,review_then_update_path_and_hash,insert_project_module_from_ifc_module,pending,,,,
15,양평군_원덕리346-34_근생_s-18_260325.ifc,양평군_원덕리346-34_근생_s-18_260325.ifc,N-22-S-18,양평군 원덕리 346-34_근생_s-18,IFC-양평군_원덕리346,197,4,none,insert_project_module_from_ifc_module,pending,,,,
16,용인 남곡리 10평 쇼룸_2511126_창호수정.ifc,용인 남곡리 10평 쇼룸_2511126_창호수정.ifc,N-02-T-12-1,기흥 쇼룸 (T-12-1),T-10-SHW,100,80,none,insert_project_module_from_ifc_module,pending,,,,
17,제주 안덕면 서광리 80-5 H-30_심의.ifc,제주 안덕면 서광리 80-5 H-30_심의.ifc,N-09-H-30,제주도 안덕면 서광리 80-5 H-30(수정중),IFC-제주 안덕면 서광리,501,67,none,insert_project_module_from_ifc_module,pending,,,,
18,충남 추부면_251022.ifc,충남 추부면_251022.ifc,N-18-T-12,충남_금산군_추부면_마전리_683-152_주택_T-12,IFC-충남 추부면_251,142,36,none,insert_project_module_from_ifc_module,pending,,,,
