db,table,rows,col_idx,col_name,col_type,notnull,pk,null_rate
운영 DB (cost_analysis.db),actual_costs,931,0,actual_cost_id,INTEGER,0,1,0.0000
운영 DB (cost_analysis.db),actual_costs,931,1,project_id,INTEGER,1,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,2,work_code_id,INTEGER,1,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,3,material_id,INTEGER,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,4,actual_quantity,REAL,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,5,unit,TEXT,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,6,unit_price,REAL,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,7,total_amount,INTEGER,1,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,8,settlement_date,TEXT,1,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,9,vendor_name,TEXT,0,0,0.1224
운영 DB (cost_analysis.db),actual_costs,931,10,invoice_no,TEXT,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,11,payment_status,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,12,source_system,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,13,source_ref,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,14,raw_description,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,15,promotion_status,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,16,validated_by,TEXT,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,17,validated_at,TEXT,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,18,reject_reason,TEXT,0,0,1.0000
운영 DB (cost_analysis.db),actual_costs,931,19,receipt_id,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,20,created_at,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,21,cost_type,TEXT,0,0,0.0000
운영 DB (cost_analysis.db),actual_costs,931,22,package,TEXT,0,0,1.0000
운영 DB (cost_analysis.db),audit_log,0,0,audit_id,INTEGER,0,1,
운영 DB (cost_analysis.db),audit_log,0,1,table_name,TEXT,1,0,
운영 DB (cost_analysis.db),audit_log,0,2,record_id,TEXT,1,0,
운영 DB (cost_analysis.db),audit_log,0,3,action,TEXT,1,0,
운영 DB (cost_analysis.db),audit_log,0,4,old_values,TEXT,0,0,
운영 DB (cost_analysis.db),audit_log,0,5,new_values,TEXT,0,0,
운영 DB (cost_analysis.db),audit_log,0,6,changed_by,TEXT,0,0,
운영 DB (cost_analysis.db),audit_log,0,7,changed_at,TEXT,0,0,
운영 DB (cost_analysis.db),audit_log,0,8,reason,TEXT,0,0,
운영 DB (cost_analysis.db),bim_quantities,2455,0,bim_qty_id,INTEGER,0,1,0.0000
운영 DB (cost_analysis.db),bim_quantities,2455,1,ifc_file_id,INTEGER,1,0,0.0000
운영 DB (cost_analysis.db),bim_quantities,2455,2,work_code_id,INTEGER,1,0,0.0000
운영 DB (cost_analysis.db),bim_quantities,2455,3,material_id,INTEGER,0,0,0.0000
운영 DB (cost_analysis.db),bim_quantities,2455,4,quantity,REAL,1,0,0.0000
운영 DB (cost_analysis.db),bim_quantities,2455,5,unit,TEXT,1,0,0.0000
운영 DB (cost_analysis.db),bim_quantities,2455,6,ifc_element_type,TEXT,0,0,0.0000
